sze	𒊺
sze20	𒂠
sze3	𒂠
szen	𒊿
szennur	𒄒
szesz	𒋀
szi	𒅆
szi2	𒋛
szim	𒋆
szinig	𒋒
szitim	𒁶
szu	𒋗
szub	𒊒
szubur	𒋚
szuku	𒉻
szul	𒂄
szum	𒋳
szum2	𒋧
szur	𒋩
szur4	𒇳𒊬
szusz3	𒅖
t,a	𒁕
t,a2	𒋫
t,a3	𒄭
t,am	𒁮
t,ar	𒋻
t,e	𒁲
t,e4	𒋼
t,e6	𒋾
t,i	𒁲
t,i3	𒋾
t,u	𒂅
t,u2	𒌅
t,u3	𒁺
t,ul	𒇥
t,um	𒌈
t,up	𒁾
ta	𒋫
ta2	𒁕
tab	𒑊
tak	𒋳
tak2	𒁖
tak4	𒋺
taka4	𒋺
tal	𒊑
tam	𒌓
tam2	𒁮
tar	𒋻
tar2	𒁯
taskarin	𒌆
tasz	𒌨
te	𒋼
te4	𒉈
te9	𒋾
tel	𒁁
ter	𒌁
ti	𒋾
ti7	𒋼
tibira	𒍏𒉄
til	𒁁
tim	𒁴
tir	𒌁
tiszpak	𒈽
tu	𒌅
tu2	𒌓
tu3	𒁺
tug2	𒌆
tukul	𒆪
tul	𒌋𒌆
tul2	𒇥
tum	𒌈
tun3	𒂅
tup	𒁾
tur	𒌉
tur2	𒄙
u	𒌋
u2	𒌑
u3	𒅇
u4	𒌓
u8	𒇇
ub	𒌒
ud	𒌓
ud5	𒍚
udu	𒇻
ug	𒊌
ug3	𒌦
ugula	𒉺
uk	𒊌
ul	𒌌
um	𒌝
umbin	𒌢
umma	𒄑𒆵
un	𒌦
unken	𒌺
unug	𒀕
up	𒌒
uq	𒊌
ur	𒌨
ur2	𒌫
ur3	𒃡
ur5	𒄯
urasz	𒅁
uri2	𒋀𒀕
urta	𒅁
uru	𒌷
uru4	𒀳
uruda	𒍏
urudu	𒍏
us	𒊻
us,	𒊻
us,2	𒍑
us,4	𒊍
us2	𒍑
usa	𒐍
usan3	𒉮
usz	𒍑
usz2	𒁁
ut	𒌓
ut,	𒌓
utu	𒌓
uz	𒊻
uz2	𒍑
uzu	𒍜
wa	𒁀
wa2	𒁀
we	𒉿
wi	𒉿
wu	𒉿
yi	𒉿
za	𒍝
za3	𒍠
zabala4	𒈹𒍝𒀕
zabar	𒌓𒅗𒈦
zadim	𒈯
zal	𒉌
zalag2	𒂟
zar	𒇡
ze	𒍣
ze2	𒍢
zi	𒍣
zi2	𒍢
zi3	𒂠
zid2	𒂠
zimbir	𒌓𒄒𒉣
zir3	𒈲
ziz2	𒀾
zu	𒍪
zu2	𒅗
zum	𒍮
